store_nbr,sales_2013,sales_2014,sales_2015,pct_14_13,pct_15_14,cat_14_13,cat_15_14,cat_tot,zip_cd,city_name,lat,long,promo_dep13,promo_dep14,promo_dep15
7080,28484638.77,27674754.38,26401015.98,-0.028432321,-0.046025283,0.00%,0.00%,4,78380,ROBSTOWN,27.799,-97.667,0.16,0.157,0.174
7081,51468064.4,46735556.77,47997916.01,-0.091950371,0.027010682,-100.00%,100.00%,6,23601,NEWPORT NEWS,37.058423,-76.466239,0.151,0.156,0.158
7086,37920704.9,33936180.63,29171602.05,-0.105075164,-0.140398197,-100.00%,-100.00%,0,90028,LOS ANGELES,34.10156169,-118.309401,0.131,0.134,0.126
7087,141292324.7,128086439.2,116970220.3,-0.093464989,-0.086786852,-100.00%,-100.00%,0,10704,YONKERS,40.905023,-73.858014,0.148,0.155,0.153
7089,49299343.12,51773368.03,54481633.82,0.05018373,0.052310018,100.00%,100.00%,8,28202,CHARLOTTE,35.232704,-80.845193,0.115,0.113,0.104
7090,40386100.6,34817266.8,32699709.67,-0.137889861,-0.060819166,-100.00%,-100.00%,0,28277,CHARLOTTE,35.030881,-80.850321,0.135,0.14,0.144
7092,108261979,104936237.8,103409455,-0.030719383,-0.014549623,0.00%,0.00%,4,77008,HOUSTON,29.803704,-95.398856,0.114,0.113,0.112
7093,82057147.23,87202996.63,84609785.54,0.062710557,-0.029737637,100.00%,0.00%,5,6811,DANBURY,41.387215,-73.488737,0.12,0.125,0.126
7094,45869129.9,44526082.6,41738153.38,-0.029279982,-0.062613396,0.00%,-100.00%,1,77573,LEAGUE CITY,29.540634,-95.062137,0.124,0.124,0.127
7095,22113997.48,22257729.7,23246508.36,0.006499604,0.044424057,100.00%,100.00%,8,87108,ALBUQUERQUE,35.07634124,-106.5678782,0.168,0.159,0.163
7096,84495453.4,88737559.95,96178410.16,0.050205146,0.083852319,100.00%,100.00%,8,8203,BRIGANTINE,39.39492,-74.38776,0.121,0.123,0.125
